Image,F1,Jaccard,Recall,Precision
3043.png,0.4442501093135111,0.2855536818437324,0.9990167158308751,0.2856339612032612
2380.png,0.8550153307052125,0.7467482785003825,0.7532801646514021,0.9885212694125591
126.png,0.9533678756476685,0.9108910891089109,0.9583333333333334,0.9484536082474226
1147.png,0.9273858921161826,0.8646034816247582,0.9824175824175824,0.8781925343811395
1883.png,0.927968851395198,0.8656174334140436,0.8816276202219482,0.9794520547945206
2176.png,0.7323279924599434,0.5776951672862454,0.6103692065985861,0.9151943462897526
2304.png,0.8214971209213052,0.6970684039087948,0.7025607353906763,0.988909426987061
369.png,0.9051094890510949,0.8266666666666667,0.8340807174887892,0.9893617021276596
2228.png,0.8789115646258503,0.7839805825242718,0.8613333333333333,0.8972222222222223
2114.png,0.9411764705882353,0.8888888888888888,0.9404672192916352,0.9418867924528301
451.png,0.9584199584199584,0.9201596806387226,0.922,0.9978354978354979
1916.png,0.3793836344314559,0.2340983606557377,0.2340983606557377,1.0
2349.png,0.23716814159292038,0.13453815261044177,0.13453815261044177,1.0
2530.png,0.49893992932862197,0.332391713747646,0.625886524822695,0.41480611045828436
1419.png,0.9422776911076443,0.8908554572271387,0.9837133550488599,0.9041916167664671
86.png,0.8945286750164799,0.8091830649970185,0.9819102749638206,0.8214285714285714
2725.png,0.8878961922995107,0.7983932670237185,0.9304502897904592,0.8490642799023597
1013.png,0.89,0.8018018018018018,0.89,0.89
777.png,0.8862629246676514,0.7957559681697612,0.9360374414976599,0.8415147265077139
2995.png,0.6893580353295994,0.5259697567389875,0.6622516556291391,0.7187780772686433
2992.png,0.9653423499577346,0.9330065359477124,0.9681247880637505,0.9625758597437627
1968.png,0.9100680759584379,0.8349769888231426,0.8657123381049762,0.959214501510574
1191.png,0.8998242530755711,0.8178913738019169,0.8692699490662139,0.9326047358834244
2956.png,0.7882015567390415,0.6504394861392833,0.6517615176151762,0.9968911917098445
2187.png,0.9519650655021834,0.9083333333333333,0.9396551724137931,0.9646017699115044
2248.png,0.8576349024110218,0.7507537688442211,0.8412162162162162,0.8747072599531616
1452.png,0.9284210526315789,0.8664047151277013,0.8909090909090909,0.9692307692307692
2525.png,0.7747543461829176,0.6323257248611968,0.733715103793844,0.8206565252201762
1108.png,0.7603550295857988,0.6133651551312649,0.6393034825870647,0.9379562043795621
2787.png,0.7309384164222875,0.5759676487579434,0.623125,0.8838652482269503
602.png,0.9416342412451362,0.8897058823529411,0.8918918918918919,0.9972527472527473
227.png,0.8200312989045383,0.6949602122015915,0.966789667896679,0.7119565217391305
1567.png,0.949438202247191,0.9037433155080213,0.9883040935672515,0.9135135135135135
1076.png,0.004164497657470068,0.0020865936358894104,0.0020865936358894104,1.0
2565.png,0.9016290726817042,0.8208784940102681,0.8325137402371999,0.9832593098735907
1075.png,0.0,0.0,0.0,0.0
824.png,0.4384,0.2807377049180328,0.2808199121522694,0.9989583333333333
2543.png,0.9483282674772038,0.9017341040462428,0.9948979591836735,0.9059233449477352
460.png,0.9564489112227805,0.9165329052969502,0.9330065359477124,0.9810996563573883
1751.png,0.9433962264150944,0.8928571428571429,0.9615384615384616,0.9259259259259259
1390.png,0.9196234612599566,0.8512064343163539,0.8546433378196501,0.9952978056426333
754.png,0.6306984525303221,0.46059865607819184,0.46286065070595456,0.989501312335958
117.png,0.5530785562632696,0.3822450476889215,0.39665017129805863,0.9132340052585451
941.png,0.7553488372093023,0.6068759342301944,0.6916524701873935,0.8319672131147541
347.png,0.951993490642799,0.9083850931677019,0.9375,0.9669421487603306
247.png,0.8669623059866962,0.7651663405088063,0.9750623441396509,0.780439121756487
837.png,0.0915032679738562,0.04794520547945205,0.04794520547945205,1.0
1225.png,0.44830917874396137,0.2889165628891656,0.7388535031847133,0.3217753120665742
1428.png,0.9656652360515021,0.9336099585062241,0.9493670886075949,0.982532751091703
2926.png,0.0,0.0,0.0,0.0
1774.png,0.8693009118541034,0.7688172043010753,0.975443383356071,0.7839912280701754
2107.png,0.8365650969529085,0.719047619047619,0.7584474885844749,0.9326221224031443
552.png,0.9087378640776699,0.8327402135231317,0.9669421487603306,0.8571428571428571
925.png,0.968437259430331,0.9388059701492537,0.9617737003058104,0.9751937984496124
284.png,0.0,0.0,0.0,0.0
2780.png,0.0,0.0,0.0,0.0
860.png,0.7318894697535474,0.5771495877502945,0.5791962174940898,0.9939148073022313
375.png,0.9783226723525231,0.9575652173913044,0.9828632631203141,0.9738238415281217
834.png,0.8671328671328671,0.7654320987654321,0.8857142857142857,0.8493150684931506
2642.png,0.0,0.0,0.0,0.0
1375.png,0.8331108144192257,0.7139588100686499,1.0,0.7139588100686499
681.png,0.9808262502470845,0.9623739332816137,0.9829635499207607,0.978698224852071
384.png,0.9719306809860874,0.9453941120607787,0.9915338645418327,0.9530876017233126
2154.png,0.0,0.0,0.0,0.0
1657.png,0.927536231884058,0.8648648648648649,0.9937888198757764,0.8695652173913043
69.png,0.9394812680115274,0.8858695652173914,0.965925925925926,0.9144460028050491
1568.png,0.918552036199095,0.8493723849372385,0.9398148148148148,0.8982300884955752
222.png,0.9763975155279503,0.9538834951456311,0.9650092081031307,0.9880578252671276
269.png,0.9149507609668756,0.8432343234323433,0.9623352165725048,0.8720136518771331
3041.png,0.549520766773163,0.3788546255506608,0.5058823529411764,0.6013986013986014
1043.png,0.9042857142857142,0.8252933507170795,0.8473895582329317,0.9693721286370597
2479.png,0.67101958814666,0.5049130763416477,0.5709401709401709,0.8136419001218027
2550.png,0.7472306143001007,0.5964630225080386,0.6807339449541284,0.828125
393.png,0.0,0.0,0.0,0.0
110.png,0.5457909343200741,0.3753180661577608,0.37579617834394907,0.9966216216216216
3033.png,0.6356522976241287,0.4659019812304484,0.4684420213881317,0.988495575221239
2233.png,0.6917450365726228,0.5287539936102237,0.8365627632687447,0.5896674584323041
2965.png,0.3770491803278689,0.23232323232323232,0.23637176050044684,0.9313380281690141
581.png,0.9768924302788844,0.9548286604361371,0.9638364779874213,0.9903069466882067
1089.png,0.8143646408839779,0.6868592730661697,0.6972563859981078,0.9787516600265604
2627.png,0.0,0.0,0.0,0.0
1411.png,0.9750415973377704,0.9512987012987013,0.9932203389830508,0.9575163398692811
244.png,0.9732465654374548,0.9478873239436619,0.9655667144906743,0.9810495626822158
2609.png,0.7151323587514815,0.5565805658056581,0.8660287081339713,0.6090174966352625
855.png,0.8328521013795316,0.7135788894997251,0.9412617839013778,0.7468354430379747
2909.png,0.8761609907120743,0.7796143250688705,0.8311306901615272,0.9263502454991817
1207.png,0.8810289389067524,0.7873563218390804,0.8404907975460123,0.9256756756756757
2593.png,0.9163558870538093,0.8456243854473943,0.8802456499488229,0.9555555555555556
184.png,0.8410596026490066,0.7257142857142858,0.8964705882352941,0.7920997920997921
2060.png,0.0,0.0,0.0,0.0
159.png,0.9232283464566928,0.8574040219378428,0.8733705772811918,0.9791231732776617
512.png,0.9767561983471075,0.9545683997980817,0.9633214467651554,0.9905709795704557
2732.png,0.34986945169712796,0.2120253164556962,0.23508771929824562,0.6836734693877551
2994.png,0.0,0.0,0.0,0.0
2394.png,0.5270549359768691,0.35782389231632084,0.3815789473684211,0.8518024032042724
1420.png,0.9293361884368309,0.868,0.8821138211382114,0.9819004524886877
1814.png,0.8312611012433393,0.7112462006079028,0.9790794979079498,0.7222222222222222
782.png,0.7806925498426023,0.6402753872633391,0.6674641148325359,0.9401853411962932
1437.png,0.9017212659633538,0.8210313447927199,0.9938800489596084,0.8252032520325203
2300.png,0.45559210526315785,0.29499467518636846,1.0,0.29499467518636846
2801.png,0.9011406844106464,0.8200692041522492,0.9601620526671168,0.848955223880597
2418.png,0.8554104477611939,0.7473512632436837,0.7473512632436837,1.0
1955.png,0.8714689265536724,0.772215269086358,0.7849872773536896,0.9793650793650793
1342.png,0.9533678756476685,0.9108910891089109,0.9147727272727273,0.9953632148377125
1585.png,0.9317460317460315,0.8722139673105498,0.9079659706109822,0.9568052159739201
6.png,0.8862512363996043,0.7957371225577264,0.8028673835125448,0.9889624724061811
718.png,0.7839070924927416,0.6446111869031378,0.6571627260083449,0.9712230215827338
437.png,0.9244186046511628,0.8594594594594595,0.9695121951219512,0.8833333333333333
1792.png,0.6387832699619772,0.4692737430167598,0.9333333333333333,0.48554913294797686
1681.png,0.9441558441558441,0.8942189421894219,0.9308578745198464,0.9578392621870883
750.png,0.8275123205485322,0.7057748538011696,0.7317165593027662,0.9521696252465484
1826.png,0.9410615434711821,0.8886838868388683,0.9550561797752809,0.9274711168164314
2061.png,0.8900523560209423,0.8018867924528302,0.821256038647343,0.9714285714285714
2858.png,0.8966480446927374,0.8126582278481013,0.8283870967741935,0.9771689497716894
2101.png,0.36808051761322796,0.22555066079295155,0.628992628992629,0.2601626016260163
1006.png,0.9012987012987015,0.8203309692671394,0.8762626262626263,0.9278074866310161
2808.png,0.500981033355134,0.33420593368237345,1.0,0.33420593368237345
1803.png,0.831275720164609,0.7112676056338029,0.7163120567375887,0.9901960784313726
1491.png,0.9095022624434389,0.8340248962655602,0.95260663507109,0.8701298701298701
3012.png,0.0,0.0,0.0,0.0
2566.png,0.8007054673721341,0.6676470588235294,0.6676470588235294,1.0
841.png,0.9111389236545682,0.8367816091954023,0.9877883310719131,0.8455284552845529
2922.png,0.9270549809471964,0.8640284119736175,0.9947429906542056,0.8679918450560652
2359.png,0.8052271313005599,0.6739583333333333,0.7711561382598331,0.8424479166666666
1304.png,0.8781684382665577,0.782798833819242,0.8261538461538461,0.93717277486911
1063.png,0.8699254349627175,0.7697947214076246,0.7777777777777778,0.9868421052631579
769.png,0.8619781872884542,0.7574355584930601,0.925686591276252,0.8064743138634765
